"BehaviorSpace results (NetLogo 6.0.2)"
"lakeland-v2017-v00_20180104.nlogo"
"experiment_3"
"01/06/2018 15:33:53:767 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","removalrate","num_agents","LNSmin","Umax","level_of_variability_skills","level_of_variability_thresholds","Stochasticity","inequalityaversion","beta","flocking","speed","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)"
"21","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","13.76670195742174","13.567263763069496","5.72632408458025","0.00691984596942822","0.01009896059650017","0.23192550788143385","0.31755511022044086","0.0022044088176352704","0.6801603206412825","8.016032064128256E-5","1","11","3","6","44","12","5","14","4","0.8999999999999999","9.900000000000002","2.5999999999999996","0.8999999999999999","39.69999999999997","10.3","0","10.000000000000002","3.3999999999999995","0","0","0","0","0","0","0","0","0","-0.0026283063298587752","0.022808778765885038","0.020691556972727933","-0.05113937968417644","0.12658643603164316","0.07910952228253142","-0.05","2.056542490829101E-4","0.026545001594076724","0.6801603206412825"
"22","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","13.593774206164644","13.60446923521023","5.816859988359995","0.006377675582560804","0.010556472149184908","0.22388892659818532","0.3176953907815631","0.0021643286573146295","0.6800801603206413","6.0120240480961926E-5","1","8","4","8","52","12","3","9","3","0.8999999999999999","7.200000000000001","3.2999999999999994","3.6999999999999997","44.499999999999964","10.700000000000001","0","8.3","2.5999999999999996","0","0","0","0","0","0","0","0","0","-0.0019888364781516284","0.010481584275967685","0.023484289228779313","-0.049061508595705725","0.09064362553315788","0.08614121860891563","-0.03","0.02390101516952261","0.01924620689309138","0.6800801603206413"
"23","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","12.045902038042993","13.3462253575295","5.430537050556129","0.00435640727963","0.010568759910639904","0.21113676066310766","0.2909218436873747","0.0019839679358717435","0.7070340681362726","6.0120240480961926E-5","1","14","5","8","39","12","3","15","3","0.8999999999999999","12.600000000000003","4.5","5.6","34.39999999999998","10.800000000000002","0","11.800000000000002","2.6999999999999997","0","0","0","0","0","0","0","0","0","-0.0034827724154465308","0.005064775437644828","0.02748859350347225","-0.04037178757711933","0.02890685789964815","0.06707574063267589","-0.03","-0.0059071646164456145","0.013159040953066697","0.7070340681362726"
"24","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","13.862586317902622","13.470491034664256","5.834399207819181","0.0069603442835089666","0.010807315458060133","0.206662749965083","0.31154308617234466","0.0018837675350701403","0.6865130260521042","6.0120240480961926E-5","2","16","4","12","43","3","2","13","5","1.7999999999999998","14.400000000000004","3.4","4.8","38.99999999999997","2.5999999999999996","0","10.900000000000002","3.9999999999999996","0","0","0","0","0","0","0","0","0","-0.003575986325718419","0.03863625249098783","0.027041292874501306","-0.07801491283401607","0.1441341848663148","0.02585887353369988","-0.02","0.04131831054845051","0.02721074927373497","0.6865130260521042"
"25","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","16.067216187790052","13.396373352572876","6.180405274220152","0.008969807607791425","0.009654847637729103","0.2352291352350439","0.3009819639278557","0.0022244488977955913","0.6967134268537074","8.016032064128256E-5","2","6","4","18","38","15","7","8","2","1.7999999999999998","5.4","3.3999999999999995","12.800000000000002","34.09999999999998","13.000000000000002","1.9999999999999998","7.200000000000001","1.5999999999999999","0","0","0","0","0","0","0","0","0","-0.004205530990193518","0.021975272727556918","0.033193824688574264","-0.05292432711186559","0.19174427881163525","0.1449763783916776","-0.048977067607242644","0.039957033283626264","0.01827274829183018","0.6967134268537074"
"26","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","17.383039262054492","13.121675108930484","6.611604295161934","0.009998901022341388","0.01293899247975007","0.19470704629746677","0.3051503006012024","0.0017234468937875752","0.6930861723446894","4.008016032064128E-5","4","7","3","16","47","12","3","7","1","3.5999999999999996","6.300000000000001","2.4","12.000000000000002","41.999999999999964","9.865660499837714","0.9999999999999999","6.300000000000001","0.8999999999999999","0","0","0","0","0","0.23433950016228494","0","0","0","-0.002549412730591824","0.04546016060389649","0.02869211237553175","-0.03202619556981541","0.23919967991130667","0.1237338596450846","-0.019819569450716806","0.04519746944307028","0.011945976869926394","0.6930861723446894"
"27","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","15.592824805807055","13.304993621903673","6.173118565256123","0.00891279306815642","0.013566222104596525","0.2275363828375765","0.31773547094188376","0.002344689378757515","0.6798196392785572","1.002004008016032E-4","2","9","6","13","46","13","2","7","2","1.7999999999999998","8","5.299999999999999","3.9","41.49999999999997","10.829113924050633","0","6.300000000000001","1.5243881856540074","0","0","0","0","0","0.07088607594936708","0","0","0.07561181434599155","-0.00297493562364959","0.029282713287119823","0.05470203355146282","-0.09359729910400776","0.18650883003475074","0.10684849626142479","-0.02","0.03523537331761277","0.016280825985560323","0.6798196392785572"
"28","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","15.447332713672768","13.782894078640789","6.093509347411731","0.00900894341230783","0.010478357953628926","0.22490374568117996","0.2979559118236473","0.0023046092184368736","0.6996793587174349","6.0120240480961926E-5","2","5","2","11","44","17","4","12","3","1.7999999999999998","4.5","1.5999999999999999","2.6999999999999997","39.599999999999966","14.100000000000005","0.9999999999999999","10.700000000000001","2.6999999999999997","0","0","0","0","0","0","0","0","0","-0.002870121774246854","0.02618597621406733","0.014581982900081752","-0.08279668147044841","0.16353643565917808","0.14417505529104002","-0.029738223176989986","0.04784063850524226","0.028781460074076524","0.6996793587174349"
"29","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","17.416211943388817","13.901732123164566","6.561027088205407","0.011079093356326532","0.010966953002151133","0.24438337038839286","0.30871743486973946","0.002665330661322645","0.6885971943887775","2.004008016032064E-5","3","8","4","19","37","17","2","4","6","2.8","7.200000000000001","3.3999999999999995","8.6","33.19999999999998","13.754545454545458","0.9999999999999999","3.5999999999999996","4.8999999999999995","0","0","0","0","0","0.14545454545454548","0","0","0","-0.0017041491135913588","0.046407403426852886","0.04582850441788417","-0.09748112978343036","0.20528894679246873","0.1778158866499059","-0.00917620071030648","0.015331805075265572","0.06278343797398407","0.6885971943887775"
"30","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","7","500","15.631873158285991","13.671308227635372","6.24266990009691","0.008289710075983598","0.010870146041057583","0.1921552069337797","0.29414829659318636","0.002004008016032064","0.7038476953907815","0","4","12","2","9","46","9","3","11","4","3.5999999999999996","10.800000000000002","1.7999999999999998","4.699999999999999","40.999999999999964","7.3999999999999995","0.9999999999999999","10.100000000000001","3.3999999999999995","0","0","0","0","0","0","0","0","0","-0.006761860791698092","0.06397553835634534","0.020134771997537798","-0.04533915303295486","0.16582647957520644","0.07438152817553431","-0.01994011217720503","0.03093377678963337","0.035535397170894115","0.7038476953907815"
