"BehaviorSpace results (NetLogo 6.0.1)"
"lakeland-v2017-v00_20180104.nlogo"
"radius_1"
"01/06/2018 14:32:11:573 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","variability_gamma","removalrate","num_agents","LNSmin","Umax","gamma","level_of_variability_skills","level_of_variability_thresholds","level_of_variability_gamma","Stochasticity","inequalityaversion","beta","speed","neighborhood_radius","minimum-separation","max-separate-turn","max-align-turn","max-cohere-turn","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc"
"21","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","39.170336229854776","23.72487117539918","9.111112495119057","0.06844723605594838","0.011584478007612229","0.2363531832868346","0.8374749498997996","0.035791583166332665","0.11090180360721442","0.015831663326653308","3","18","3","13","38","9","1","14","1","2.0999999999999996","11.699999999999998","1.6653899828396779","9.299999999999999","24.000000000000004","5.3999999999999995","0.7","9.099999999999998","0.6","0","0","0.15757234616440932","0","0","0","0","0","0","0.020509023262569058","0.23764102671426401","0.06365909425479699","0.07843781447267445","0.5383103827584548","0.2094904842949813","0.006407251407894445","0.1841580711123469","0.024285019131463643"
"22","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","39.64419531565784","24.131632445170943","9.16243841468796","0.06940804227344886","0.010809067418504199","0.2365924604552543","0.8452304609218437","0.034569138276553106","0.10438877755511022","0.015811623246492986","2","8","2","16","54","4","4","7","3","1.4","5.199999999999999","1.2","11.299999999999997","34.000000000000014","2.4","2.8","4.5","1.7999999999999998","0","0","0","0","0","0","0","0","0","0.014285273039143828","0.1010689480427194","0.04714679125983513","0.10119356907253156","0.8307847235270963","0.09420834194894914","0.02978060298225605","0.10504818405545187","0.0736536266531474"
"23","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","36.70904824216443","23.458507487004862","8.932772876633589","0.06639243519164587","0.01123855889922986","0.21806473579694738","0.8540280561122244","0.03144288577154308","0.09460921843687375","0.019919839679358717","2","7","3","12","47","14","1","13","1","1.4","4.5","1.7999999999999998","9.000000000000002","30.600000000000005","8.399999999999999","0.7","8.299999999999999","0.6","0","0","0","0","0","0","0","0","0","0.012088835333333164","0.08446770668453021","0.056701176777328464","0.07195238448794765","0.5931249424183028","0.29248616853265463","0.004843871776907536","0.16242325274143796","0.02059437297237786"
"24","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","39.71856092610147","23.955774258681885","9.11853497201964","0.06927775486256309","0.010849324882709248","0.24223920027243756","0.8509619238476954","0.036152304609218436","0.09557114228456914","0.017314629258517036","3","11","1","12","46","9","7","9","2","2.0999999999999996","6.899999999999999","0.6","8.600000000000001","29.100000000000012","5.3999999999999995","5","5.599999999999999","1.2","0","0","0","0","0","0","0","0","0","0.018882607562284243","0.15382577016634152","0.02494950869985519","0.07886268083898566","0.6557043298743225","0.22732067901399575","0.05396330336715285","0.1327410871274115","0.04542650848190875"
"25","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","36.733846264189594","21.993418180419763","8.947710259104788","0.06548168373644819","0.011814710680197106","0.24960314242087087","0.852004008016032","0.030300601202404808","0.09811623246492986","0.019579158316633268","4","15","2","11","41","13","5","5","4","2.8","9.799999999999997","1.2","8.1","26.500000000000004","7.799999999999998","3.5","3.2","2.4","0","0","0","0","0","0","0","0","0","0.02158234845521364","0.16384291673504234","0.04307947962991167","0.06936572275857139","0.5372521045336691","0.26625214829029425","0.029537375857899346","0.057410564740539155","0.08184918331887783"
"26","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","26.853737024252496","17.98379257626655","7.885857071508366","0.05231002730830566","0.018900291796912216","0.22976913867153956","0.8117635270541083","0.029859719438877757","0.13050100200400802","0.027875751503006013","1","13","0","11","35","19","1","17","3","0.7999999999999999","9.1","0","9.100000000000001","24.499999999999993","11.399999999999997","0.7999999999999999","11.699999999999998","1.7999999999999998","0","0","0","0","0","0","0","0","0","0.003402178227688072","0.1173630326858361","0","0.03079865478697403","0.30717961108739406","0.24139974130740163","0.0031129187219032413","0.1622733800532423","0.041621034805868436"
"27","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","36.29233043169616","21.171593985143694","8.778210619109592","0.0668975116768784","0.012005626880998734","0.22863957245778763","0.8444689378757515","0.03282565130260521","0.10354709418837675","0.019158316633266535","3","7","3","10","45","12","6","13","1","2.1999999999999997","4.3999999999999995","1.7999999999999998","7.4","28.40000000000001","7.199999999999998","4.4","8.399999999999999","0.6","0","0","0","0","0","0","0","0","0","0.01492861031015472","0.09160571687196398","0.057349743796834954","0.05992506374123953","0.5935732569432995","0.2555242834795628","0.038361573943422954","0.16834681428792156","0.021175131843284588"
"28","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","33.74463722735139","24.9412028699838","8.795276545840483","0.0640880227934519","0.01436897914269644","0.22206574239469834","0.8380961923847695","0.028797595190380762","0.10797595190380761","0.025130260521042082","3","13","3","14","43","12","0","9","3","2.4","8.499999999999998","1.7999999999999998","10.499999999999998","27.7","7.199999999999998","0","5.6","1.7999999999999998","0","0","0","0","0","0","0","0","0","0.016799727440822237","0.15861360484512377","0.05523388764568479","0.07630721667219355","0.5128237464123167","0.22340506233044133","0","0.1115422462430248","0.058521918985913884"
"29","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","32.31036403005491","21.027292240777026","8.47572603090555","0.061769589085617554","0.013298541030456235","0.20754984021150577","0.8249298597194389","0.03372745490981964","0.11935871743486974","0.021983967935871745","2","13","3","7","48","12","2","10","3","1.5","8.5","1.7999999999999998","5.3999999999999995","31.400000000000002","7.199999999999998","1.5","6.8","1.7999999999999998","0","0","0","0","0","0","0","0","0","0.008848402709658304","0.14115254832244717","0.05404217421704413","0.03195907511727708","0.535732867867868","0.20177158157992642","0.009775791505609895","0.10432778252030422","0.05372301832802624"
"30","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","30","1","1.5","6","5.75","500","35.42471810285172","21.684738796034473","8.725419552333438","0.06573929019173931","0.01192921250123783","0.22991738408787105","0.831002004008016","0.031062124248496994","0.11769539078156313","0.020240480961923848","2","11","4","15","43","12","1","11","1","1.5999999999999999","6.899999999999999","2.4","11.1","27.600000000000005","7.199999999999998","0.7","7","0.6","0","0","0","0","0","0","0","0","0","0.011423998046737015","0.13812180698721718","0.07551795678588066","0.07888703834980047","0.5644094832786456","0.23519733706865018","0.0045902196392737255","0.13597559713754265","0.02321647047503031"
